Rndrng_NPI,HCPCS_Degree_Centrality,HCPCS_Closeness_Centrality,HCPCS_PageRank,Provider Type_Closeness_Centrality,Provider Type_PageRank
1457316457,4.24e-05,0.4732409746,2.9e-05,30.49072114,1.65e-05
1295085892,4.24e-05,0.2225823266,2.35e-05,1.478395592,1.36e-05
1831538701,4.24e-05,26.93849142,1.39e-05,22.05624398,1.2e-05
1205156569,4.24e-05,32.3969178,1.61e-05,2.163689,1.07e-05
1497887624,4.24e-05,40.26071103,1.55e-05,0.8088072476,8.88e-06
1306599436,4.24e-05,0.03904963462,3.43e-05,0.1327786044,2.23e-05
1538728431,4.24e-05,19.64564018,5.21e-05,6.377399193,9.16e-05
1720635121,4.24e-05,0.2815073291,1.69e-05,16.90545749,2.32e-05
1073762084,4.24e-05,22.26931903,1.03e-05,5.556163419,9.88e-06
1407084015,4.24e-05,33.34754755,1.13e-05,26.03794342,8.48e-06
1033380936,4.24e-05,33.58718123,1.83e-05,2.241923723,1.04e-05
1619361045,4.24e-05,8.661173011,1.55e-05,1.231268669,3.98e-05
1598821803,4.24e-05,34.49344095,1.63e-05,6.298250196,7.41e-06
1720091572,4.24e-05,36.15890826,2.86e-05,18.62214791,3.41e-05
1275182537,4.24e-05,0.02211726592,1.59e-05,0.4556508586,2.66e-05
1104854926,4.24e-05,36.30837218,1.82e-05,21.49566247,2.8e-05
1134228158,4.24e-05,29.35361673,1.89e-05,1.417394812,2.26e-05
1649315243,4.24e-05,39.72357411,2.02e-05,37.45062406,1.14e-05
1386848752,4.24e-05,0.008520451163,2.54e-05,1.161379127,2.65e-05
1942272075,4.24e-05,25.38609986,3.04e-05,1.255144633,2.37e-05
1184018285,4.24e-05,25.59447293,3.13e-05,2.529469211,3.36e-05
1801105606,4.24e-05,30.99364841,1.88e-05,9.950472707,1.49e-05
1962933424,4.24e-05,33.55188438,2.54e-05,2.382127024,1.65e-05
1730369521,4.24e-05,0.3858773655,1.83e-05,0.7354656952,1.94e-05
1124529953,4.24e-05,25.35678428,2.16e-05,1.335169664,2.43e-05
1417927732,4.24e-05,19.06786882,4.88e-05,4.384102194,1.55e-05
1912161589,4.24e-05,25.56799727,2.98e-05,5.479066104,3.62e-05
1205835063,4.24e-05,31.17168756,1.81e-05,1.209939262,1.01e-05
1245499540,4.24e-05,11.93923478,2.03e-05,0.470617393,6.7e-05
